Cultura,Quantidade_a_ser_Plantada_Toneladas,Producao_Total_Toneladas,Tipo_de_Solo,Tipo_de_Irrigacao,Frequencia_Irrigacao,Temperatura_Media,Fertilizante,Pragas,Rotacao_de_Culturas,Tecnologia_Utilizada,Perimetro,Estacao,Custo_Fertilizante
Arroz,58,197.2,Silte,Sulcos,Semanal,26,Nenhum,Ferrugem,Sim,Baixo,167.77639420895204,Inverno,0
Cana-de-Açúcar,22,81.4,Calcário,Aspersão,Diária,24,Composto,Nenhuma,Sim,Alto,79.95106732375396,Inverno,150
Café,89,364.9,Areia,Sulcos,Semanal,33,Composto,Fungos,Não,Alto,127.13516576204174,Primavera,150
Batata,49,166.6,Silte,Gotejamento,Mensal,29,Nenhum,Insetos,Não,Médio,138.86218532930639,Verão,0
Milho,91,254.8,Areia,Sulcos,Diária,18,Nenhum,Ferrugem,Sim,Baixo,56.96756190799966,Verão,0
Batata,59,259.6,Silte,Sulcos,Semanal,33,Nenhum,Fungos,Sim,Baixo,141.13172778521576,Primavera,0
Soja,42,126.0,Argila,Gotejamento,Mensal,23,Composto,Insetos,Não,Alto,75.57861855309373,Outono,150
Soja,92,331.2,Areia,Gotejamento,Semanal,25,Nenhum,Nenhuma,Não,Baixo,59.75773894779193,Verão,0
Trigo,60,234.0,Calcário,Aspersão,Diária,26,Nenhum,Insetos,Não,Baixo,192.33283058799998,Inverno,0
Arroz,80,320.0,Calcário,Sulcos,Mensal,28,Fosfato,Nenhuma,Sim,Baixo,194.8448049611839,Verão,180
Soja,15,48.0,Aluvial,Gotejamento,Semanal,21,Nitrogênio,Nenhuma,Sim,Alto,171.25960221746917,Inverno,200
Café,62,210.8,Silte,Aspersão,Diária,24,Orgânico,Fungos,Sim,Médio,95.6920653760056,Outono,100
Batata,62,248.0,Areia,Sulcos,Mensal,33,Nitrogênio,Fungos,Não,Médio,64.65081710095758,Primavera,200
Batata,47,211.5,Aluvial,Gotejamento,Mensal,33,Fosfato,Nenhuma,Não,Baixo,152.63495397682354,Verão,180
Trigo,62,223.2,Areia,Gotejamento,Semanal,30,Orgânico,Insetos,Sim,Médio,116.0228740609402,Primavera,100
Cana-de-Açúcar,51,224.4,Silte,Sulcos,Diária,31,Nenhum,Ferrugem,Não,Alto,68.30573522671682,Verão,0
Cana-de-Açúcar,55,192.5,Calcário,Sulcos,Diária,22,Fosfato,Fungos,Sim,Alto,124.27653651669053,Inverno,180
Milho,64,217.6,Argila,Sulcos,Semanal,23,Nenhum,Insetos,Não,Médio,55.15827816728276,Primavera,0
Trigo,3,11.4,Calcário,Sulcos,Mensal,28,Composto,Nenhuma,Não,Médio,186.39806031181732,Verão,150
Uva,51,224.4,Aluvial,Sulcos,Mensal,29,Fosfato,Nenhuma,Não,Baixo,88.81699724000254,Inverno,180
Milho,7,28.7,Argila,Gotejamento,Mensal,26,Composto,Nenhuma,Não,Médio,149.3783426530973,Primavera,150
Uva,21,56.7,Aluvial,Sulcos,Mensal,22,Fosfato,Fungos,Sim,Baixo,96.75666141341165,Primavera,180
Cana-de-Açúcar,73,240.9,Silte,Sulcos,Diária,25,Fosfato,Ferrugem,Não,Baixo,128.0102031766716,Verão,180
Trigo,39,183.3,Argila,Aspersão,Mensal,35,Composto,Nenhuma,Sim,Alto,132.00654190149194,Verão,150
Uva,18,75.60000000000001,Aluvial,Aspersão,Mensal,35,Orgânico,Fungos,Sim,Alto,77.72816832882906,Verão,100
Trigo,4,14.8,Silte,Aspersão,Semanal,26,Nitrogênio,Ferrugem,Sim,Alto,195.4376941646838,Inverno,200
Trigo,89,382.7,Calcário,Aspersão,Diária,30,Nenhum,Ferrugem,Não,Alto,166.2699235041672,Verão,0
Cana-de-Açúcar,60,168.0,Silte,Aspersão,Diária,18,Fosfato,Fungos,Não,Médio,190.92484123462836,Primavera,180
Milho,14,39.2,Areia,Aspersão,Diária,18,Nenhum,Insetos,Não,Alto,184.22410256414733,Primavera,0
Milho,9,29.700000000000003,Silte,Aspersão,Mensal,26,Composto,Ferrugem,Sim,Médio,139.68499682166276,Verão,150
Trigo,90,315.0,Silte,Gotejamento,Diária,22,Nenhum,Nenhuma,Não,Alto,188.2811352534675,Verão,0
Soja,53,243.8,Areia,Aspersão,Semanal,33,Composto,Nenhuma,Sim,Médio,63.273875307787925,Outono,150
Arroz,2,5.8,Aluvial,Sulcos,Diária,19,Nenhum,Fungos,Sim,Baixo,79.39742936287178,Primavera,0
Cana-de-Açúcar,84,394.8,Aluvial,Aspersão,Mensal,35,Nitrogênio,Nenhuma,Sim,Médio,56.78409333658071,Inverno,200
Arroz,92,386.4,Silte,Aspersão,Diária,24,Nitrogênio,Nenhuma,Sim,Médio,98.79954961448965,Outono,200
Arroz,60,180.0,Areia,Aspersão,Semanal,24,Nitrogênio,Fungos,Sim,Alto,108.3015934534223,Verão,200
Milho,71,269.8,Areia,Gotejamento,Diária,25,Nitrogênio,Insetos,Não,Médio,90.70235476608438,Verão,200
Milho,44,167.2,Calcário,Aspersão,Semanal,25,Nitrogênio,Nenhuma,Não,Baixo,174.3106263727894,Primavera,200
Soja,8,19.2,Aluvial,Gotejamento,Semanal,18,Nitrogênio,Insetos,Sim,Baixo,103.51299900403839,Verão,200
Arroz,47,183.3,Argila,Aspersão,Mensal,32,Composto,Insetos,Sim,Alto,92.14017645310712,Inverno,150
Arroz,35,164.5,Aluvial,Sulcos,Semanal,34,Fosfato,Nenhuma,Sim,Baixo,131.40441247373727,Primavera,180
Trigo,78,234.0,Aluvial,Aspersão,Mensal,23,Nenhum,Ferrugem,Sim,Médio,71.1386337462144,Verão,0
Milho,81,405.0,Calcário,Gotejamento,Diária,35,Nitrogênio,Nenhuma,Sim,Baixo,170.32954711310595,Primavera,200
Arroz,36,140.4,Argila,Gotejamento,Semanal,26,Composto,Nenhuma,Não,Alto,61.182596551965624,Verão,150
Batata,50,215.0,Calcário,Aspersão,Mensal,33,Composto,Ferrugem,Não,Médio,198.03304049007758,Verão,150
Soja,4,12.0,Argila,Sulcos,Mensal,20,Composto,Nenhuma,Não,Alto,165.8367153944986,Verão,150
Uva,2,9.0,Silte,Sulcos,Diária,32,Fosfato,Fungos,Sim,Médio,79.80735223012586,Inverno,180
Batata,6,19.8,Argila,Aspersão,Semanal,25,Nenhum,Insetos,Sim,Baixo,50.828317568540356,Inverno,0
Batata,54,216.0,Calcário,Sulcos,Semanal,32,Fosfato,Ferrugem,Não,Alto,172.31921426822512,Primavera,180
Uva,4,14.4,Aluvial,Gotejamento,Diária,21,Orgânico,Nenhuma,Sim,Alto,156.02860157714258,Verão,100
Cana-de-Açúcar,54,199.8,Argila,Gotejamento,Semanal,31,Composto,Ferrugem,Sim,Médio,159.3510752061481,Verão,150
Cana-de-Açúcar,93,362.7,Argila,Gotejamento,Semanal,33,Orgânico,Fungos,Sim,Alto,165.69055200289188,Inverno,100
Soja,63,207.9,Areia,Gotejamento,Mensal,28,Nitrogênio,Fungos,Não,Médio,61.106697760113555,Verão,200
Batata,18,90.0,Aluvial,Aspersão,Mensal,35,Nitrogênio,Nenhuma,Sim,Médio,103.76985928164089,Inverno,200
Arroz,90,243.00000000000003,Silte,Sulcos,Diária,19,Fosfato,Insetos,Não,Médio,67.38035892876945,Verão,180
Milho,44,123.2,Calcário,Sulcos,Mensal,18,Nenhum,Fungos,Não,Médio,179.46551388133904,Primavera,0
Soja,34,136.0,Silte,Aspersão,Diária,27,Orgânico,Nenhuma,Não,Baixo,143.4947190241337,Verão,100
Trigo,74,281.2,Aluvial,Gotejamento,Semanal,30,Nenhum,Insetos,Sim,Médio,99.63470372789737,Verão,0
Uva,62,198.4,Argila,Sulcos,Diária,22,Fosfato,Insetos,Sim,Alto,59.53375254290354,Outono,180
Batata,14,56.0,Argila,Gotejamento,Diária,32,Nitrogênio,Fungos,Não,Baixo,96.64734825734934,Inverno,200
Soja,95,380.0,Aluvial,Aspersão,Mensal,35,Nenhum,Fungos,Sim,Alto,98.77749830401206,Verão,0
Café,48,129.60000000000002,Argila,Sulcos,Semanal,21,Nenhum,Fungos,Não,Baixo,159.4409267507096,Verão,0
Café,15,46.5,Argila,Aspersão,Mensal,21,Nitrogênio,Ferrugem,Não,Médio,145.63362070328196,Outono,200
Cana-de-Açúcar,72,180.0,Argila,Sulcos,Mensal,20,Orgânico,Ferrugem,Não,Baixo,183.08191138644898,Outono,100
Uva,78,343.20000000000005,Calcário,Sulcos,Diária,31,Nitrogênio,Insetos,Sim,Baixo,120.83223877429239,Inverno,200
Milho,87,356.70000000000005,Calcário,Aspersão,Diária,26,Nenhum,Nenhuma,Sim,Alto,67.93913689074526,Outono,0
Arroz,62,223.2,Areia,Aspersão,Mensal,29,Orgânico,Fungos,Sim,Alto,156.98671808344926,Primavera,100
Milho,40,124.0,Silte,Gotejamento,Mensal,24,Orgânico,Fungos,Sim,Médio,164.11775729253463,Outono,100
Milho,85,221.0,Aluvial,Aspersão,Semanal,18,Nitrogênio,Ferrugem,Não,Baixo,134.19157963542443,Primavera,200
Milho,80,304.0,Aluvial,Sulcos,Semanal,30,Nenhum,Ferrugem,Não,Baixo,165.64507699318415,Inverno,0
Uva,82,311.6,Aluvial,Aspersão,Semanal,30,Fosfato,Insetos,Não,Baixo,124.06933945465862,Inverno,180
Milho,53,174.89999999999998,Areia,Sulcos,Diária,20,Nenhum,Insetos,Sim,Médio,128.40992440729912,Inverno,0
Trigo,24,98.4,Calcário,Gotejamento,Mensal,26,Composto,Nenhuma,Sim,Médio,114.13115275378244,Inverno,150
Uva,26,106.6,Areia,Aspersão,Semanal,25,Fosfato,Nenhuma,Sim,Médio,53.81286901161428,Inverno,180
Trigo,89,356.0,Aluvial,Aspersão,Diária,32,Orgânico,Ferrugem,Sim,Médio,66.18371404899567,Primavera,100
Uva,60,210.0,Silte,Sulcos,Semanal,29,Fosfato,Fungos,Não,Médio,54.714377853010134,Primavera,180
Cana-de-Açúcar,41,123.0,Argila,Gotejamento,Diária,22,Orgânico,Fungos,Sim,Alto,145.46156168956708,Inverno,100
Soja,29,147.89999999999998,Calcário,Gotejamento,Semanal,35,Orgânico,Nenhuma,Sim,Baixo,97.15339716144899,Outono,100
Café,15,69.0,Calcário,Sulcos,Semanal,35,Fosfato,Ferrugem,Sim,Baixo,126.28560367470541,Verão,180
Milho,45,130.5,Areia,Sulcos,Diária,19,Orgânico,Insetos,Sim,Baixo,186.13497108891394,Inverno,100
Cana-de-Açúcar,65,240.5,Calcário,Sulcos,Semanal,29,Orgânico,Ferrugem,Não,Baixo,87.39383437233124,Outono,100
Soja,89,267.0,Aluvial,Gotejamento,Mensal,23,Composto,Insetos,Não,Baixo,111.55743845534445,Verão,150
Café,71,284.0,Aluvial,Gotejamento,Mensal,35,Nenhum,Ferrugem,Sim,Baixo,163.3326707814573,Inverno,0
Batata,9,34.2,Areia,Gotejamento,Diária,28,Nenhum,Insetos,Não,Baixo,84.31972482374337,Inverno,0
Arroz,88,308.0,Aluvial,Sulcos,Mensal,25,Composto,Fungos,Sim,Baixo,61.54698647431895,Primavera,150
Trigo,1,3.4,Silte,Sulcos,Diária,24,Fosfato,Ferrugem,Sim,Alto,93.46271793706521,Verão,180
Batata,8,35.2,Areia,Sulcos,Diária,34,Nitrogênio,Insetos,Não,Baixo,74.18319308810067,Verão,200
Uva,88,396.0,Silte,Aspersão,Semanal,29,Nitrogênio,Nenhuma,Sim,Alto,189.45464785138597,Outono,200
Café,63,233.1,Argila,Aspersão,Mensal,30,Nitrogênio,Insetos,Sim,Médio,171.21805693466254,Primavera,200
Batata,11,52.8,Silte,Sulcos,Diária,35,Composto,Insetos,Sim,Baixo,145.0105634765635,Primavera,150
Arroz,81,315.9,Argila,Gotejamento,Semanal,28,Composto,Fungos,Sim,Médio,180.71908852815767,Primavera,150
Cana-de-Açúcar,8,28.0,Argila,Aspersão,Mensal,28,Orgânico,Insetos,Não,Médio,170.55081153486717,Primavera,100
Café,35,129.5,Silte,Gotejamento,Diária,27,Nitrogênio,Ferrugem,Não,Médio,77.98550883290537,Verão,200
Batata,35,94.5,Areia,Sulcos,Semanal,21,Fosfato,Ferrugem,Não,Alto,183.88384977349668,Verão,180
Trigo,33,151.79999999999998,Aluvial,Gotejamento,Diária,33,Fosfato,Ferrugem,Não,Médio,130.9013362873476,Inverno,180
Trigo,5,13.5,Aluvial,Aspersão,Mensal,22,Nitrogênio,Ferrugem,Sim,Médio,171.11602327460938,Inverno,200
Soja,41,127.1,Argila,Gotejamento,Semanal,18,Nitrogênio,Nenhuma,Sim,Médio,184.41369498852399,Primavera,200
Batata,28,109.2,Argila,Gotejamento,Semanal,31,Nitrogênio,Fungos,Sim,Baixo,97.70052124577958,Primavera,200
Milho,7,34.300000000000004,Areia,Gotejamento,Mensal,34,Composto,Nenhuma,Não,Baixo,66.50778867915152,Primavera,150
Batata,73,292.0,Calcário,Gotejamento,Semanal,32,Composto,Fungos,Não,Alto,84.19027438129126,Inverno,150
Cana-de-Açúcar,72,266.40000000000003,Silte,Sulcos,Diária,29,Composto,Fungos,Sim,Alto,114.06616829393845,Outono,150
Café,12,51.6,Argila,Sulcos,Diária,25,Nenhum,Nenhuma,Sim,Baixo,172.702214888374,Outono,0
Café,34,98.6,Aluvial,Aspersão,Mensal,22,Fosfato,Ferrugem,Não,Alto,179.10958748845152,Inverno,180
Cana-de-Açúcar,33,115.5,Areia,Gotejamento,Diária,22,Fosfato,Nenhuma,Não,Baixo,51.04281957967861,Inverno,180
Batata,48,201.6,Silte,Aspersão,Mensal,32,Orgânico,Insetos,Não,Médio,126.61209538663486,Inverno,100
Cana-de-Açúcar,23,78.2,Areia,Gotejamento,Semanal,23,Composto,Insetos,Não,Médio,112.61165047231685,Inverno,150
Arroz,62,198.4,Silte,Sulcos,Mensal,22,Nenhum,Nenhuma,Não,Alto,83.31617157060954,Inverno,0
Uva,88,325.6,Silte,Sulcos,Mensal,30,Nenhum,Fungos,Sim,Baixo,67.97980510005242,Inverno,0
Cana-de-Açúcar,37,148.0,Argila,Gotejamento,Semanal,24,Fosfato,Nenhuma,Não,Baixo,100.6422757105442,Primavera,180
Trigo,99,267.3,Areia,Gotejamento,Semanal,19,Composto,Ferrugem,Sim,Alto,191.43645558687788,Primavera,150
Cana-de-Açúcar,44,189.2,Areia,Aspersão,Mensal,31,Orgânico,Nenhuma,Sim,Baixo,98.48043980311328,Primavera,100
Café,86,258.0,Aluvial,Gotejamento,Mensal,20,Composto,Ferrugem,Não,Médio,127.81859326150492,Primavera,150
Trigo,91,318.5,Aluvial,Gotejamento,Semanal,24,Nitrogênio,Nenhuma,Sim,Alto,155.45284383427668,Inverno,200
Café,35,157.5,Argila,Aspersão,Diária,27,Composto,Nenhuma,Sim,Alto,104.5444403568941,Outono,150
Soja,65,286.0,Argila,Gotejamento,Mensal,34,Nitrogênio,Ferrugem,Não,Baixo,195.7673124081441,Verão,200
Milho,99,396.0,Calcário,Aspersão,Semanal,34,Nitrogênio,Ferrugem,Sim,Alto,194.3670942413167,Inverno,200
Café,47,225.6,Aluvial,Aspersão,Diária,35,Orgânico,Ferrugem,Sim,Baixo,87.76734437380463,Verão,100
Trigo,78,234.0,Silte,Aspersão,Mensal,18,Fosfato,Nenhuma,Sim,Baixo,124.58727588385781,Outono,180
Soja,3,9.9,Areia,Sulcos,Semanal,27,Composto,Fungos,Não,Baixo,95.13174647251546,Primavera,150
Café,1,3.1,Argila,Sulcos,Semanal,25,Nitrogênio,Fungos,Não,Baixo,92.72607415662014,Outono,200
Arroz,5,16.5,Areia,Aspersão,Semanal,22,Composto,Fungos,Não,Baixo,55.53304210317992,Inverno,150
Cana-de-Açúcar,90,324.0,Areia,Sulcos,Diária,23,Fosfato,Insetos,Não,Alto,141.4346500969845,Primavera,180
Milho,14,42.0,Calcário,Aspersão,Semanal,19,Fosfato,Insetos,Não,Médio,125.40185348432922,Inverno,180
Café,27,102.6,Aluvial,Aspersão,Semanal,27,Nenhum,Nenhuma,Sim,Médio,57.7218126874984,Primavera,0
Soja,9,26.1,Argila,Aspersão,Semanal,18,Fosfato,Insetos,Sim,Alto,91.7969696354917,Verão,180
Arroz,79,300.2,Areia,Gotejamento,Diária,25,Orgânico,Fungos,Sim,Alto,186.23988289499806,Verão,100
Batata,15,51.0,Argila,Gotejamento,Diária,21,Nitrogênio,Nenhuma,Sim,Médio,85.93428360004586,Verão,200
Soja,90,234.0,Silte,Aspersão,Mensal,19,Nenhum,Fungos,Não,Médio,71.73423081368347,Outono,0
Cana-de-Açúcar,42,180.6,Calcário,Sulcos,Diária,30,Orgânico,Fungos,Não,Médio,123.41791404163445,Inverno,100
Soja,77,292.6,Silte,Aspersão,Diária,25,Composto,Insetos,Sim,Médio,197.8475681165901,Outono,150
Arroz,51,193.8,Argila,Sulcos,Mensal,28,Nitrogênio,Insetos,Sim,Médio,86.30829072672506,Verão,200
Soja,63,189.0,Argila,Aspersão,Mensal,25,Fosfato,Ferrugem,Não,Baixo,150.8203321108818,Inverno,180
Arroz,96,288.0,Aluvial,Gotejamento,Mensal,23,Nitrogênio,Insetos,Sim,Alto,164.24294229930763,Verão,200
Café,52,197.6,Areia,Gotejamento,Mensal,33,Composto,Ferrugem,Não,Baixo,85.64563159885995,Outono,150
Uva,96,336.0,Areia,Sulcos,Mensal,23,Nenhum,Nenhuma,Sim,Médio,159.23245229177894,Outono,0
Arroz,4,12.0,Silte,Aspersão,Semanal,19,Nenhum,Nenhuma,Não,Médio,105.16746990788798,Outono,0
Arroz,94,441.8,Calcário,Aspersão,Mensal,32,Nenhum,Nenhuma,Não,Médio,144.84587458903692,Verão,0
Milho,23,64.4,Areia,Gotejamento,Mensal,21,Fosfato,Fungos,Não,Baixo,145.0294566141342,Inverno,180
Arroz,15,67.5,Aluvial,Sulcos,Semanal,34,Orgânico,Fungos,Não,Baixo,130.36620261121377,Inverno,100
Arroz,43,180.6,Silte,Sulcos,Semanal,26,Orgânico,Nenhuma,Não,Médio,63.54346550816125,Verão,100
Batata,29,104.4,Silte,Sulcos,Mensal,29,Nitrogênio,Insetos,Não,Baixo,175.2953743383857,Inverno,200
Uva,36,133.20000000000002,Aluvial,Sulcos,Semanal,31,Fosfato,Insetos,Não,Baixo,98.11700974576038,Verão,180
Café,13,53.3,Calcário,Aspersão,Diária,28,Nenhum,Nenhuma,Sim,Médio,77.97777655997814,Inverno,0
Cana-de-Açúcar,32,124.8,Aluvial,Gotejamento,Mensal,29,Nenhum,Insetos,Sim,Baixo,56.11627123321459,Primavera,0
Milho,71,205.9,Calcário,Aspersão,Diária,21,Composto,Ferrugem,Não,Alto,138.63394147823627,Primavera,150
Batata,59,247.79999999999995,Aluvial,Sulcos,Semanal,26,Composto,Nenhuma,Não,Alto,151.63465427634236,Outono,150
Trigo,86,387.0,Aluvial,Aspersão,Mensal,30,Nenhum,Nenhuma,Sim,Alto,52.48817433917842,Primavera,0
Uva,28,81.2,Argila,Gotejamento,Semanal,18,Nenhum,Fungos,Sim,Alto,126.81395874489215,Primavera,0
Café,66,211.2,Silte,Sulcos,Mensal,22,Fosfato,Insetos,Não,Médio,83.97436627969068,Primavera,180
Café,42,138.60000000000002,Aluvial,Aspersão,Mensal,26,Orgânico,Insetos,Sim,Médio,146.77591856141748,Verão,100
Trigo,45,130.50000000000003,Aluvial,Aspersão,Semanal,21,Composto,Ferrugem,Sim,Médio,76.15496435074871,Primavera,150
Cana-de-Açúcar,62,173.6,Areia,Sulcos,Diária,20,Orgânico,Insetos,Sim,Alto,153.6406607153699,Primavera,100
Arroz,57,233.7,Silte,Gotejamento,Mensal,31,Fosfato,Insetos,Sim,Alto,108.01030194508061,Outono,180
Batata,6,19.200000000000003,Areia,Aspersão,Diária,22,Nenhum,Insetos,Sim,Baixo,190.50949831051017,Primavera,0
Soja,28,98.0,Silte,Sulcos,Semanal,24,Orgânico,Insetos,Não,Baixo,70.62814162189899,Primavera,100
Milho,28,86.8,Areia,Sulcos,Diária,21,Nenhum,Ferrugem,Sim,Alto,101.15995265753878,Inverno,0
Soja,44,162.8,Aluvial,Gotejamento,Mensal,27,Nenhum,Insetos,Sim,Alto,67.02102818608836,Outono,0
Trigo,84,344.4,Aluvial,Aspersão,Mensal,31,Nitrogênio,Ferrugem,Sim,Alto,188.7040427417844,Outono,200
Café,30,99.0,Argila,Gotejamento,Mensal,18,Orgânico,Nenhuma,Sim,Alto,181.60090300714714,Outono,100
Cana-de-Açúcar,62,210.8,Areia,Sulcos,Semanal,23,Orgânico,Fungos,Sim,Baixo,88.69124415727333,Outono,100
Café,75,300.0,Calcário,Sulcos,Mensal,30,Nenhum,Nenhuma,Sim,Alto,148.99760690512687,Outono,0
Milho,92,349.6,Argila,Aspersão,Semanal,22,Fosfato,Nenhuma,Sim,Baixo,172.58333003018237,Outono,180
Café,89,373.8,Areia,Sulcos,Diária,32,Nitrogênio,Ferrugem,Sim,Alto,133.28012173991937,Verão,200
Café,62,167.4,Areia,Aspersão,Mensal,20,Nenhum,Fungos,Sim,Alto,129.44758675340097,Primavera,0
Milho,97,407.4,Argila,Gotejamento,Mensal,30,Composto,Nenhuma,Não,Alto,86.27784363506775,Outono,150
Batata,1,4.2,Aluvial,Aspersão,Diária,32,Composto,Ferrugem,Sim,Baixo,63.96541517088488,Primavera,150
Batata,27,89.1,Areia,Sulcos,Diária,20,Nitrogênio,Insetos,Sim,Baixo,184.58236369299902,Primavera,200
Milho,62,241.8,Aluvial,Aspersão,Mensal,34,Fosfato,Ferrugem,Não,Médio,185.06270857449957,Verão,180
Cana-de-Açúcar,77,246.4,Argila,Sulcos,Semanal,26,Nenhum,Insetos,Sim,Alto,144.9652185909902,Outono,0
Trigo,3,10.8,Aluvial,Aspersão,Diária,26,Orgânico,Ferrugem,Não,Médio,100.8544686573051,Inverno,100
Uva,70,266.0,Silte,Sulcos,Semanal,25,Nitrogênio,Nenhuma,Sim,Médio,102.38143619189913,Verão,200
Café,72,302.40000000000003,Calcário,Gotejamento,Mensal,27,Fosfato,Nenhuma,Sim,Baixo,158.8933518305359,Inverno,180
Cana-de-Açúcar,27,78.30000000000001,Areia,Aspersão,Mensal,22,Orgânico,Ferrugem,Sim,Baixo,184.56653899288656,Primavera,100
Café,9,32.4,Calcário,Sulcos,Diária,28,Composto,Fungos,Sim,Médio,183.0629636397676,Primavera,150
Uva,62,254.2,Aluvial,Aspersão,Diária,31,Composto,Fungos,Não,Alto,166.98133187864357,Verão,150
Trigo,37,92.5,Areia,Sulcos,Mensal,20,Orgânico,Fungos,Sim,Baixo,146.30474692314317,Verão,100
Batata,97,261.90000000000003,Aluvial,Gotejamento,Mensal,22,Nitrogênio,Fungos,Sim,Alto,62.62099474925732,Inverno,200
Cana-de-Açúcar,51,142.79999999999998,Silte,Gotejamento,Mensal,18,Composto,Ferrugem,Não,Alto,74.24430711419207,Outono,150
Arroz,44,110.0,Argila,Aspersão,Semanal,19,Nenhum,Fungos,Não,Médio,184.78312827906188,Inverno,0
Arroz,24,96.0,Areia,Gotejamento,Semanal,32,Orgânico,Ferrugem,Sim,Médio,140.9643589489385,Verão,100
Uva,79,323.90000000000003,Silte,Sulcos,Mensal,34,Orgânico,Insetos,Sim,Médio,51.37955774249445,Inverno,100
Arroz,59,224.2,Silte,Gotejamento,Mensal,33,Composto,Insetos,Não,Médio,65.22073142990482,Verão,150
Batata,32,102.4,Areia,Gotejamento,Diária,19,Nitrogênio,Ferrugem,Não,Baixo,149.52526536620837,Inverno,200
Uva,96,336.00000000000006,Aluvial,Aspersão,Semanal,22,Nenhum,Nenhuma,Sim,Baixo,50.759237576932804,Verão,0
Batata,88,343.2,Silte,Gotejamento,Diária,29,Nitrogênio,Fungos,Não,Médio,74.1212077126248,Verão,200
Trigo,52,150.79999999999998,Calcário,Gotejamento,Diária,19,Fosfato,Insetos,Não,Baixo,132.31006840498793,Verão,180
Café,62,198.4,Silte,Aspersão,Semanal,26,Fosfato,Fungos,Não,Médio,153.78427965390398,Outono,180
Trigo,58,249.4,Aluvial,Sulcos,Mensal,31,Composto,Nenhuma,Sim,Alto,147.79418892539007,Inverno,150
Trigo,52,171.60000000000002,Aluvial,Aspersão,Semanal,22,Composto,Fungos,Não,Alto,83.64039641908397,Inverno,150
Batata,12,43.2,Calcário,Aspersão,Mensal,26,Composto,Ferrugem,Sim,Alto,156.82688320213038,Inverno,150
